"","gene_id","log2FoldChange","pvalue","padj","FC","direction","prob","miRNA_family","maxinternum"
"105","hsa-mir-33a",3.01143084443885,1.74590289716211e-13,1.11571508951979e-12,8.06363783732155,"up","mir-33","miR-33-5p",8
"106","hsa-mir-33b",3.0347826319659,4.86496622894363e-06,1.51129274982462e-05,8.19521973354401,"up","mir-33","miR-33-5p",8
"107","hsa-mir-34a",3.02797391081021,2.30254848284498e-14,1.59279384741132e-13,8.15663396095161,"up","mir-34","miR-34-5p=449-5p",3
"108","hsa-mir-34b",2.14502101974217,0.0220066726134376,0.0407913738221455,4.42298705473794,"up","mir-34","miR-34-5p=449-5p",3
"109","hsa-mir-375",-2.96226812883494,8.52105449112073e-16,6.28310721268352e-15,7.79348245387065,"down","mir-375","miR-375-3p",4
"110","hsa-mir-425",1.28857384230178,7.99779328159566e-05,0.000221756995535152,2.44286449899867,"up","mir-425","miR-425-5p=489-3p",10
"111","hsa-mir-490",-2.92176125099711,0.00497934831275305,0.0104085442923903,7.5777064400402,"down","mir-490","miR-490-3p",3
"112","hsa-mir-7-1",3.22675698016434,7.32461050808334e-20,6.82613007072767e-19,9.36161204933435,"up","mir-7","miR-7-5p",5
"113","hsa-mir-7-2",5.20800865757631,1.85716038616099e-08,7.41758701853587e-08,36.9629669188751,"up","mir-7","miR-7-5p",5
"114","hsa-mir-7-3",4.63769806051189,3.85548661659866e-07,1.32668283063472e-06,24.8935151779736,"up","mir-7","miR-7-5p",5
"115","hsa-mir-96",5.85169476328776,9.37082115806038e-14,6.10468057966846e-13,57.7478273281215,"up","mir-96","miR-96-5p",3
