survival,gene_id,mmu-miR,,miRNA_family,log2FoldChange,pvalue,padj,FC,direction,prob,maxinternum
0,hsa-mir-144,,,miR-144-3p,5.746077226,3.01E-18,2.59E-17,53.67123671,up,mir-144,4
0,hsa-mir-145,,,miR-145-5p,-2.755120811,3.93E-11,2.06E-10,6.751091678,down,mir-145,11
0,hsa-mir-147b,,,miR-147-3p,2.208789374,0.005624845,0.01168505,4.622871861,up,mir-147,4
0,hsa-mir-148a,,,miR-148-3p=152-3p,3.926646037,1.41E-32,2.87E-31,15.2068142,up,mir-148,3
0.072,hsa-mir-153-1,mmu-miR-153-3p +,miR-153-3p,miR-153-3p,2.546557672,0.012526974,0.024154021,5.842385972,up,mir-153,3
0,hsa-mir-153-2,,,miR-153-3p,6.182570994,2.88E-10,1.38E-09,72.63389261,up,mir-153,3
1,hsa-mir-155 +,"mmu-miR-155-5p +
mmu-miR-155-3p -",miR-155-5p,miR-155-5p,1.243439369,0.00029907,0.000780841,2.367622987,up,mir-155,4
1,hsa-mir-15a,"mmu-miR-15a-5p + 
mmu-miR-15a-3p -",miR-15-5p=16-5p=195-5p=322-5p=497-5p,miR-15-5p=16-5p=195-5p=322-5p=497-5p,4.656155889,2.51E-30,4.44E-29,25.21404869,up,mir-15,4
1,hsa-mir-15b,"mmu-miR-15b-5p +
mmu-miR-15b-3p -",,miR-15-5p=16-5p=195-5p=322-5p=497-5p,-1.331125702,1.37E-10,6.75E-10,2.515989153,down,mir-15,4
0.063,hsa-mir-17,"mmu-miR-17-5p + 
mmu-miR-106a-5p + ",miR-17-5p=20-5p=93-5p=106-5p,miR-17-5p=20-5p=93-5p=106-5p,3.846269189,2.10E-29,3.20E-28,14.38276542,up,mir-17,4
0,hsa-mir-181a-1,,,miR-181-5p,-1.982564335,1.53E-09,6.84E-09,3.951949017,down,mir-181,19
1,hsa-mir-181a-2,"mmu-miR-181a-5p +
mmu-miR-181a-2-3p -
mmu-miR-181b-5p -",miR-181-5p,miR-181-5p,-1.376482799,4.49E-06,1.40E-05,2.596346258,down,mir-181,19
1,hsa-mir-181c,"mmu-miR-181c-5p +
mmu-miR-181c-3p - 
mmu-miR-181a-1-3p - ",,miR-181-5p,1.018495796,0.000106497,0.000292867,2.025805682,up,mir-181,19
1,hsa-mir-181d,"mmu-miR-181d-5p +
mmu-miR-181b-5p +
mmu-miR-181d-3p -",,miR-181-5p,2.973139094,9.06E-13,5.53E-12,7.85242955,up,mir-181,19
0.057,hsa-mir-182,"mmu-miR-182-5p + 
mmu-miR-182-3p - ",miR-182-5p,miR-182-5p,5.282431345,1.02E-78,3.42E-76,38.91977178,up,mir-182,3
1,hsa-mir-183,"mmu-miR-183-5p
mmu-miR-183-3p",,miR-183-5p,3.21917688,7.37E-41,2.36E-39,9.312553962,up,mir-183,6
1,hsa-mir-183,,,miR-183-5p_2,3.21917688,7.37E-41,2.36E-39,9.312553962,up,mir-183,3
0,hsa-mir-18a,,,miR-18-5p,2.639873924,6.30E-09,2.63E-08,6.232771936,up,mir-18,5
